Date;MRVE3.SA;TRPL4.SA;PETR4.SA;VIIA3.SA;MGLU3.SA;BBDC4.SA
2013-07-02;R$6.68;R$0.14;R$3.64;R$5.12;R$4.09;R$5.38
2013-07-03;R$6.63;R$0.14;R$3.45;R$5.29;R$4.02;R$5.38
2013-07-04;R$6.62;R$0.15;R$3.55;R$5.31;R$4.11;R$5.38
2013-07-05;R$6.39;R$0.14;R$3.50;R$5.04;R$4.13;R$5.38
2013-07-08;R$6.39;R$0.14;R$3.47;R$4.99;R$4.13;R$4.91
2013-07-10;R$6.39;R$0.13;R$3.43;R$5.07;R$4.09;R$4.91
2013-07-11;R$6.69;R$0.14;R$3.64;R$5.24;R$4.09;R$4.91
2013-07-12;R$6.68;R$0.15;R$3.43;R$5.13;R$3.92;R$4.91
2013-07-15;R$6.85;R$0.16;R$3.68;R$5.15;R$3.96;R$5.33
2013-07-16;R$6.83;R$0.16;R$3.80;R$5.24;R$3.88;R$5.33
2013-07-17;R$6.99;R$0.17;R$3.93;R$5.34;R$3.92;R$5.33
2013-07-18;R$6.90;R$0.16;R$3.92;R$5.35;R$3.99;R$5.33
2013-07-19;R$6.79;R$0.16;R$3.94;R$5.31;R$3.86;R$5.33
2013-07-22;R$7.04;R$0.17;R$4.11;R$5.42;R$3.96;R$5.33
2013-07-23;R$7.14;R$0.17;R$4.02;R$5.46;R$4.00;R$5.12
2013-07-24;R$7.03;R$0.16;R$3.86;R$5.45;R$4.02;R$5.38
2013-07-25;R$7.05;R$0.16;R$3.93;R$5.60;R$4.08;R$5.38
2013-07-26;R$7.05;R$0.16;R$3.93;R$5.60;R$4.03;R$5.38
2013-07-29;R$6.91;R$0.16;R$3.90;R$5.55;R$4.04;R$5.39
2013-07-30;R$6.88;R$0.15;R$3.73;R$5.47;R$4.04;R$5.39
2013-07-31;R$6.77;R$0.14;R$3.66;R$5.42;R$4.05;R$5.40
2013-08-01;R$6.95;R$0.14;R$3.86;R$5.63;R$4.09;R$5.40
2013-08-02;R$6.90;R$0.14;R$3.72;R$5.59;R$4.02;R$5.43
2013-08-05;R$6.76;R$0.14;R$3.78;R$5.54;R$4.04;R$5.43
2013-08-06;R$6.62;R$0.14;R$3.68;R$5.41;R$3.99;R$5.43
2013-08-07;R$6.64;R$0.18;R$3.81;R$5.40;R$3.95;R$5.43
2013-08-08;R$6.86;R$0.18;R$4.06;R$5.54;R$4.06;R$5.43
2013-08-09;R$6.93;R$0.17;R$4.26;R$5.68;R$4.11;R$5.43
2013-08-12;R$7.05;R$0.16;R$4.27;R$5.52;R$4.07;R$5.43
2013-08-13;R$7.21;R$0.16;R$4.12;R$5.44;R$4.13;R$5.43
2013-08-14;R$7.13;R$0.17;R$4.13;R$5.64;R$4.11;R$5.43
2013-08-15;R$7.04;R$0.17;R$4.42;R$5.93;R$3.95;R$5.43
2013-08-16;R$6.97;R$0.16;R$4.43;R$5.91;R$4.03;R$5.43
2013-08-19;R$6.96;R$0.16;R$4.68;R$5.93;R$3.99;R$5.43
2013-08-20;R$6.87;R$0.16;R$4.60;R$5.70;R$4.02;R$5.61
2013-08-21;R$6.75;R$0.15;R$4.52;R$5.77;R$3.90;R$5.61
2013-08-22;R$6.73;R$0.16;R$4.75;R$6.07;R$3.89;R$5.61
2013-08-23;R$6.86;R$0.17;R$4.82;R$6.17;R$3.91;R$5.61
2013-08-26;R$6.78;R$0.16;R$4.65;R$6.05;R$3.89;R$5.61
2013-08-27;R$6.58;R$0.16;R$4.43;R$5.80;R$3.86;R$5.61
2013-08-28;R$6.55;R$0.16;R$4.60;R$5.71;R$3.85;R$5.61
2013-08-29;R$6.66;R$0.16;R$4.62;R$5.62;R$3.87;R$5.61
2013-08-30;R$6.79;R$0.16;R$4.71;R$5.65;R$4.00;R$5.61
2013-09-02;R$6.85;R$0.17;R$4.97;R$5.62;R$3.92;R$5.61
2013-09-03;R$6.77;R$0.17;R$4.94;R$5.58;R$3.95;R$5.61
2013-09-04;R$6.80;R$0.17;R$4.93;R$5.60;R$3.91;R$5.85
2013-09-05;R$6.88;R$0.17;R$4.96;R$5.83;R$3.98;R$5.85
2013-09-06;R$7.02;R$0.18;R$5.28;R$5.91;R$4.08;R$5.85
2013-09-09;R$7.22;R$0.18;R$5.64;R$6.04;R$4.03;R$5.85
2013-09-10;R$7.31;R$0.19;R$5.47;R$6.10;R$3.99;R$5.85
2013-09-11;R$7.38;R$0.18;R$5.19;R$6.07;R$3.93;R$5.85
2013-09-12;R$7.24;R$0.19;R$5.32;R$5.94;R$3.94;R$5.85
2013-09-13;R$7.30;R$0.20;R$5.36;R$6.03;R$3.96;R$5.85
2013-09-16;R$7.33;R$0.20;R$5.30;R$6.14;R$3.95;R$5.85
2013-09-17;R$7.40;R$0.21;R$5.40;R$6.16;R$4.00;R$5.85
2013-09-18;R$7.65;R$0.21;R$5.56;R$6.28;R$4.09;R$5.85
2013-09-19;R$7.68;R$0.21;R$5.28;R$6.37;R$4.05;R$5.85
2013-09-20;R$7.49;R$0.21;R$4.94;R$6.30;R$4.02;R$5.85
2013-09-23;R$7.53;R$0.21;R$4.97;R$6.37;R$4.04;R$5.85
2013-09-24;R$7.53;R$0.21;R$5.13;R$6.24;R$4.06;R$5.85
2013-09-25;R$7.57;R$0.21;R$5.19;R$6.25;R$4.06;R$5.85
2013-09-26;R$7.56;R$0.21;R$5.19;R$6.18;R$4.09;R$5.38
2013-09-27;R$7.75;R$0.21;R$5.19;R$6.15;R$4.13;R$5.77
2013-09-30;R$7.44;R$0.21;R$5.14;R$6.11;R$4.14;R$5.77
2013-10-01;R$7.54;R$0.22;R$5.16;R$6.21;R$4.13;R$5.77
2013-10-02;R$7.56;R$0.21;R$5.30;R$6.24;R$4.14;R$5.77
2013-10-03;R$7.53;R$0.21;R$5.26;R$6.17;R$4.12;R$5.77
2013-10-04;R$7.50;R$0.21;R$5.25;R$6.21;R$4.10;R$5.77
2013-10-07;R$7.53;R$0.22;R$5.34;R$6.19;R$4.11;R$5.77
2013-10-08;R$7.53;R$0.22;R$5.41;R$6.09;R$4.04;R$5.77
2013-10-09;R$7.65;R$0.23;R$5.63;R$6.01;R$4.05;R$5.77
2013-10-10;R$7.76;R$0.24;R$5.61;R$6.04;R$4.03;R$6.13
2013-10-11;R$7.73;R$0.24;R$5.56;R$6.02;R$4.06;R$6.13
2013-10-14;R$7.90;R$0.25;R$5.88;R$6.08;R$4.09;R$6.13
2013-10-15;R$7.92;R$0.26;R$5.87;R$6.13;R$4.07;R$6.13
2013-10-16;R$7.99;R$0.27;R$5.92;R$6.10;R$4.13;R$6.13
2013-10-17;R$8.03;R$0.27;R$5.63;R$6.06;R$4.09;R$6.13
2013-10-18;R$8.09;R$0.27;R$5.41;R$5.97;R$4.08;R$6.86
2013-10-21;R$7.99;R$0.27;R$5.58;R$6.28;R$4.05;R$6.72
2013-10-22;R$8.10;R$0.27;R$5.75;R$6.17;R$4.08;R$6.72
2013-10-23;R$7.94;R$0.26;R$5.64;R$6.10;R$4.06;R$6.72
2013-10-24;R$7.93;R$0.25;R$5.58;R$6.07;R$4.01;R$6.72
2013-10-25;R$7.88;R$0.25;R$5.53;R$6.15;R$3.98;R$6.72
2013-10-28;R$7.88;R$0.27;R$5.79;R$6.61;R$4.00;R$6.98
2013-10-29;R$7.96;R$0.26;R$5.69;R$6.55;R$3.79;R$6.98
2013-10-30;R$7.93;R$0.25;R$5.59;R$6.63;R$3.75;R$6.98
2013-10-31;R$7.89;R$0.27;R$5.44;R$6.75;R$3.82;R$7.22
2013-11-01;R$7.90;R$0.27;R$5.30;R$6.60;R$3.69;R$7.22
2013-11-04;R$8.09;R$0.27;R$5.28;R$6.72;R$3.75;R$7.22
2013-11-05;R$7.98;R$0.26;R$5.06;R$6.73;R$3.69;R$7.22
2013-11-06;R$7.90;R$0.27;R$4.93;R$6.79;R$3.65;R$7.22
2013-11-07;R$7.83;R$0.28;R$4.96;R$6.65;R$3.51;R$7.58
2013-11-08;R$7.55;R$0.28;R$4.85;R$6.53;R$3.47;R$7.34
2013-11-11;R$7.54;R$0.27;R$5.03;R$6.68;R$3.50;R$7.22
2013-11-12;R$7.48;R$0.25;R$4.92;R$6.50;R$3.45;R$7.22
2013-11-13;R$7.58;R$0.24;R$5.07;R$6.63;R$3.51;R$7.22
2013-11-14;R$7.72;R$0.25;R$5.31;R$6.80;R$3.62;R$7.22
2013-11-18;R$7.77;R$0.26;R$5.53;R$7.13;R$3.55;R$7.46
2013-11-19;R$7.51;R$0.25;R$5.35;R$7.02;R$3.39;R$7.46
2013-11-21;R$7.48;R$0.25;R$5.18;R$6.95;R$3.39;R$7.46
2013-11-22;R$7.43;R$0.25;R$5.28;R$6.87;R$3.46;R$7.46
2013-11-25;R$7.36;R$0.25;R$5.26;R$6.77;R$3.45;R$7.46
2013-11-26;R$7.33;R$0.24;R$5.27;R$6.34;R$3.38;R$7.46
2013-11-27;R$7.50;R$0.23;R$5.09;R$6.31;R$3.41;R$7.46
2013-11-28;R$7.53;R$0.24;R$5.05;R$6.21;R$3.41;R$7.46
2013-11-29;R$7.60;R$0.24;R$5.22;R$6.36;R$3.47;R$8.63
2013-12-02;R$7.43;R$0.23;R$5.22;R$5.77;R$3.44;R$8.63
2013-12-03;R$7.27;R$0.22;R$4.99;R$5.82;R$3.42;R$8.63
2013-12-04;R$7.17;R$0.21;R$4.92;R$5.81;R$3.37;R$8.63
2013-12-05;R$7.12;R$0.22;R$4.96;R$5.86;R$3.39;R$8.63
2013-12-06;R$7.12;R$0.23;R$5.05;R$5.73;R$3.42;R$8.66
2013-12-09;R$7.15;R$0.24;R$5.03;R$5.80;R$3.43;R$9.14
2013-12-10;R$7.06;R$0.22;R$5.00;R$5.75;R$3.35;R$9.61
2013-12-11;R$6.91;R$0.22;R$4.87;R$5.58;R$3.31;R$9.61
2013-12-12;R$6.97;R$0.22;R$5.04;R$5.61;R$3.35;R$9.62
2013-12-13;R$7.00;R$0.21;R$4.91;R$5.73;R$3.31;R$9.15
2013-12-16;R$7.05;R$0.21;R$4.80;R$5.77;R$3.23;R$8.66
2013-12-17;R$7.04;R$0.21;R$4.93;R$5.59;R$3.15;R$8.66
2013-12-18;R$7.08;R$0.21;R$4.88;R$5.60;R$3.19;R$8.66
2013-12-19;R$7.20;R$0.21;R$4.94;R$5.74;R$3.29;R$8.09
2013-12-20;R$7.09;R$0.21;R$4.99;R$5.62;R$3.19;R$8.09
2013-12-23;R$7.04;R$0.21;R$4.90;R$5.67;R$3.10;R$7.23
2013-12-26;R$7.13;R$0.20;R$4.85;R$5.63;R$3.32;R$7.23
2013-12-27;R$7.17;R$0.21;R$4.77;R$5.63;R$3.36;R$7.23
2013-12-30;R$7.23;R$0.21;R$4.75;R$5.68;R$3.39;R$7.23
2014-01-02;R$7.14;R$0.20;R$4.43;R$5.57;R$3.27;R$7.23
2014-01-03;R$7.11;R$0.21;R$4.79;R$5.49;R$3.41;R$7.23
2014-01-06;R$7.17;R$0.22;R$4.70;R$5.53;R$3.40;R$7.23
2014-01-07;R$7.01;R$0.23;R$4.57;R$5.37;R$3.34;R$7.23
2014-01-08;R$7.01;R$0.23;R$4.56;R$5.38;R$3.39;R$7.00
2014-01-09;R$6.80;R$0.23;R$4.48;R$5.22;R$3.37;R$7.00
2014-01-10;R$6.86;R$0.23;R$4.60;R$5.31;R$3.36;R$7.00
2014-01-13;R$6.81;R$0.23;R$4.80;R$5.24;R$3.32;R$7.00
2014-01-14;R$6.87;R$0.23;R$4.82;R$5.22;R$3.35;R$7.00
2014-01-15;R$6.91;R$0.23;R$4.93;R$5.33;R$3.38;R$7.00
2014-01-16;R$6.81;R$0.24;R$4.83;R$5.18;R$3.35;R$8.18
2014-01-17;R$6.75;R$0.23;R$4.81;R$5.16;R$3.32;R$8.18
2014-01-20;R$6.71;R$0.23;R$4.74;R$5.05;R$3.31;R$8.18
2014-01-21;R$6.78;R$0.23;R$4.70;R$5.10;R$3.29;R$8.18
2014-01-22;R$6.83;R$0.24;R$5.06;R$5.27;R$3.32;R$8.18
2014-01-23;R$6.68;R$0.24;R$4.97;R$5.14;R$3.27;R$8.18
2014-01-24;R$6.54;R$0.23;R$4.94;R$5.02;R$3.21;R$6.02
2014-01-27;R$6.58;R$0.23;R$4.87;R$5.02;R$3.19;R$6.02
2014-01-28;R$6.58;R$0.23;R$4.93;R$5.00;R$3.17;R$6.02
2014-01-29;R$6.43;R$0.22;R$4.78;R$4.92;R$3.11;R$6.61
2014-01-30;R$6.39;R$0.22;R$4.73;R$4.89;R$3.08;R$6.61
2014-01-31;R$6.50;R$0.22;R$4.65;R$4.89;R$3.06;R$6.47
2014-02-03;R$6.27;R$0.22;R$4.56;R$4.61;R$3.10;R$6.45
2014-02-04;R$6.42;R$0.21;R$4.51;R$4.69;R$3.03;R$6.45
2014-02-05;R$6.39;R$0.22;R$4.69;R$4.60;R$2.96;R$6.45
2014-02-06;R$6.52;R$0.22;R$4.86;R$4.73;R$2.94;R$6.45
2014-02-07;R$6.61;R$0.23;R$4.83;R$4.81;R$2.89;R$6.45
2014-02-10;R$6.50;R$0.22;R$4.77;R$4.86;R$2.91;R$5.99
2014-02-11;R$6.67;R$0.23;R$4.87;R$4.97;R$2.94;R$5.99
2014-02-12;R$6.64;R$0.22;R$4.81;R$4.97;R$2.94;R$5.99
2014-02-13;R$6.62;R$0.22;R$4.85;R$4.86;R$2.96;R$6.11
2014-02-14;R$6.69;R$0.22;R$4.81;R$4.85;R$3.02;R$6.11
2014-02-17;R$6.65;R$0.22;R$4.70;R$4.80;R$3.05;R$6.11
2014-02-18;R$6.62;R$0.22;R$4.37;R$4.69;R$3.05;R$6.35
2014-02-19;R$6.76;R$0.21;R$4.54;R$4.72;R$3.04;R$6.35
2014-02-20;R$6.70;R$0.20;R$4.56;R$4.71;R$3.11;R$6.16
2014-02-21;R$6.84;R$0.21;R$4.67;R$4.71;R$3.17;R$6.16
2014-02-24;R$6.92;R$0.21;R$4.53;R$4.82;R$3.10;R$5.77
2014-02-25;R$6.76;R$0.20;R$4.44;R$4.72;R$3.04;R$5.77
2014-02-26;R$6.74;R$0.20;R$4.40;R$4.56;R$3.10;R$5.77
2014-02-27;R$6.88;R$0.20;R$4.57;R$4.67;R$3.17;R$5.77
2014-02-28;R$6.85;R$0.20;R$4.58;R$4.52;R$3.19;R$5.77
2014-03-05;R$6.76;R$0.19;R$4.50;R$4.42;R$3.08;R$5.77
2014-03-06;R$7.02;R$0.20;R$4.74;R$4.47;R$3.15;R$5.77
2014-03-07;R$6.93;R$0.20;R$4.67;R$4.43;R$3.06;R$5.77
2014-03-10;R$6.77;R$0.19;R$4.50;R$4.33;R$2.98;R$5.77
2014-03-11;R$6.80;R$0.19;R$4.61;R$4.36;R$2.98;R$5.77
2014-03-12;R$6.84;R$0.18;R$4.71;R$4.43;R$2.94;R$5.77
2014-03-13;R$6.70;R$0.17;R$4.74;R$4.33;R$2.97;R$4.60
2014-03-14;R$6.62;R$0.17;R$4.15;R$4.25;R$2.95;R$7.22
2014-03-17;R$6.76;R$0.17;R$3.92;R$4.18;R$2.91;R$6.78
2014-03-18;R$6.84;R$0.18;R$4.06;R$4.31;R$2.98;R$6.78
2014-03-19;R$6.90;R$0.17;R$3.98;R$4.44;R$2.98;R$6.78
2014-03-20;R$7.10;R$0.17;R$4.07;R$4.65;R$3.02;R$6.78
2014-03-21;R$7.09;R$0.18;R$4.09;R$4.66;R$3.07;R$6.25
2014-03-24;R$7.30;R$0.18;R$4.16;R$4.80;R$3.00;R$6.44
2014-03-25;R$7.24;R$0.18;R$4.16;R$4.82;R$3.03;R$6.26
2014-03-26;R$7.40;R$0.18;R$4.31;R$4.79;R$3.01;R$6.26
2014-03-27;R$7.68;R$0.18;R$4.47;R$5.18;R$3.01;R$6.26
2014-03-28;R$7.70;R$0.19;R$4.47;R$5.21;R$3.01;R$6.38
2014-03-31;R$7.82;R$0.18;R$4.56;R$5.25;R$3.10;R$6.38
2014-04-01;R$7.90;R$0.19;R$4.50;R$5.26;R$3.06;R$6.38
2014-04-02;R$8.11;R$0.20;R$4.59;R$5.17;R$3.14;R$6.38
2014-04-03;R$8.07;R$0.20;R$4.40;R$5.46;R$3.06;R$6.38
2014-04-04;R$7.97;R$0.20;R$4.40;R$5.47;R$3.07;R$6.83
2014-04-07;R$8.29;R$0.20;R$4.38;R$5.84;R$3.04;R$6.93
2014-04-08;R$8.13;R$0.20;R$4.41;R$5.67;R$3.08;R$6.93
2014-04-09;R$8.06;R$0.20;R$4.28;R$5.62;R$3.06;R$6.98
2014-04-10;R$8.11;R$0.20;R$4.17;R$5.56;R$3.02;R$6.98
2014-04-11;R$8.33;R$0.20;R$4.17;R$5.74;R$2.98;R$6.59
2014-04-14;R$8.22;R$0.20;R$4.17;R$5.65;R$3.09;R$6.59
2014-04-15;R$8.15;R$0.20;R$4.11;R$5.43;R$3.05;R$6.59
2014-04-16;R$8.24;R$0.20;R$4.24;R$5.60;R$3.01;R$6.59
2014-04-17;R$8.39;R$0.20;R$4.15;R$5.81;R$3.12;R$6.59
2014-04-22;R$8.36;R$0.20;R$4.15;R$5.66;R$3.18;R$6.59
2014-04-23;R$8.30;R$0.20;R$4.00;R$5.69;R$3.13;R$6.59
2014-04-24;R$8.43;R$0.20;R$4.06;R$5.72;R$3.14;R$6.59
2014-04-25;R$8.42;R$0.20;R$4.00;R$5.68;R$3.08;R$6.73
2014-04-28;R$8.36;R$0.21;R$3.91;R$5.87;R$3.06;R$6.73
2014-04-29;R$8.42;R$0.22;R$4.06;R$5.92;R$3.12;R$7.31
2014-04-30;R$8.34;R$0.22;R$3.98;R$5.87;R$3.13;R$7.31
2014-05-02;R$8.49;R$0.23;R$3.98;R$6.28;R$3.21;R$7.31
2014-05-05;R$8.62;R$0.23;R$4.04;R$6.23;R$3.22;R$7.31
2014-05-06;R$8.68;R$0.23;R$4.00;R$6.47;R$3.20;R$7.31
2014-05-07;R$8.78;R$0.23;R$4.04;R$6.59;R$3.30;R$7.31
2014-05-08;R$8.69;R$0.25;R$4.00;R$6.34;R$3.30;R$7.31
2014-05-09;R$8.61;R$0.25;R$4.00;R$6.27;R$3.30;R$7.31
2014-05-12;R$8.77;R$0.25;R$4.06;R$6.39;R$3.30;R$7.60
2014-05-13;R$8.73;R$0.24;R$3.97;R$6.37;R$3.30;R$7.24
2014-05-14;R$8.87;R$0.24;R$3.97;R$6.49;R$3.41;R$7.89
2014-05-15;R$8.76;R$0.24;R$3.80;R$6.39;R$3.33;R$7.70
2014-05-16;R$8.80;R$0.24;R$3.92;R$6.39;R$3.37;R$7.51
2014-05-19;R$8.67;R$0.24;R$3.93;R$6.36;R$3.31;R$7.51
2014-05-20;R$8.51;R$0.24;R$3.91;R$6.13;R$3.25;R$7.41
2014-05-21;R$8.29;R$0.25;R$3.86;R$6.19;R$3.23;R$7.41
2014-05-22;R$8.38;R$0.26;R$3.91;R$6.27;R$3.27;R$7.41
2014-05-23;R$8.25;R$0.25;R$3.90;R$6.28;R$3.30;R$6.83
2014-05-26;R$8.21;R$0.25;R$4.02;R$6.33;R$3.29;R$6.83
2014-05-27;R$8.09;R$0.24;R$4.00;R$6.20;R$3.26;R$7.70
2014-05-28;R$8.17;R$0.25;R$4.18;R$6.28;R$3.30;R$7.70
2014-05-29;R$8.08;R$0.24;R$4.21;R$6.13;R$3.30;R$7.70
2014-05-30;R$7.84;R$0.24;R$4.07;R$5.92;R$3.30;R$7.70
2014-06-02;R$7.85;R$0.22;R$4.20;R$5.87;R$3.30;R$8.10
2014-06-03;R$7.92;R$0.22;R$4.31;R$5.99;R$3.34;R$7.23
2014-06-04;R$7.85;R$0.23;R$4.32;R$5.89;R$3.29;R$7.60
2014-06-05;R$7.79;R$0.23;R$4.42;R$5.79;R$3.27;R$7.60
2014-06-06;R$8.17;R$0.24;R$4.42;R$6.27;R$3.33;R$7.60
2014-06-09;R$8.39;R$0.25;R$4.54;R$6.41;R$3.48;R$7.60
2014-06-10;R$8.56;R$0.25;R$4.63;R$6.62;R$3.47;R$7.60
2014-06-11;R$8.65;R$0.25;R$4.63;R$6.69;R$3.46;R$7.70
2014-06-13;R$8.63;R$0.25;R$4.57;R$6.73;R$3.44;R$7.70
2014-06-16;R$8.62;R$0.25;R$4.48;R$6.64;R$3.41;R$7.70
2014-06-17;R$8.51;R$0.27;R$4.43;R$6.50;R$3.38;R$7.70
2014-06-18;R$8.66;R$0.26;R$4.38;R$6.74;R$3.47;R$7.70
2014-06-20;R$8.63;R$0.25;R$4.39;R$6.63;R$3.41;R$7.70
2014-06-23;R$8.56;R$0.26;R$4.28;R$6.49;R$3.48;R$7.70
2014-06-24;R$8.64;R$0.26;R$4.33;R$6.25;R$3.52;R$8.13
2014-06-25;R$8.30;R$0.25;R$4.35;R$6.13;R$3.50;R$8.13
2014-06-26;R$8.28;R$0.26;R$4.40;R$6.14;R$3.50;R$8.13
2014-06-27;R$8.19;R$0.26;R$4.35;R$6.10;R$3.54;R$8.13
2014-06-30;R$8.10;R$0.27;R$4.42;R$6.13;R$3.51;R$6.94
2014-07-01;R$8.10;R$0.27;R$4.51;R$6.10;R$3.49;R$7.31
2014-07-02;R$8.08;R$0.27;R$4.41;R$6.07;R$3.45;R$7.31
2014-07-03;R$8.22;R$0.28;R$4.39;R$6.21;R$3.46;R$7.31
2014-07-04;R$8.26;R$0.28;R$4.35;R$6.21;R$3.53;R$7.31
2014-07-07;R$8.18;R$0.28;R$4.32;R$6.14;R$3.61;R$7.31
2014-07-08;R$8.11;R$0.27;R$4.31;R$6.14;R$3.63;R$7.31
2014-07-10;R$8.35;R$0.27;R$4.36;R$6.42;R$3.67;R$7.29
2014-07-11;R$8.40;R$0.27;R$4.29;R$6.47;R$3.68;R$7.22
2014-07-14;R$8.70;R$0.27;R$4.23;R$6.77;R$3.69;R$7.22
2014-07-15;R$8.78;R$0.27;R$4.21;R$6.83;R$3.67;R$7.22
2014-07-16;R$8.49;R$0.26;R$4.16;R$6.85;R$3.69;R$7.22
2014-07-17;R$8.46;R$0.26;R$4.17;R$6.94;R$3.68;R$7.22
2014-07-18;R$8.86;R$0.26;R$4.53;R$7.28;R$3.65;R$7.68
2014-07-21;R$8.97;R$0.26;R$4.47;R$7.42;R$3.71;R$7.27
2014-07-22;R$8.90;R$0.26;R$4.66;R$7.46;R$3.71;R$5.98
2014-07-23;R$8.91;R$0.26;R$4.63;R$7.18;R$3.71;R$7.31
2014-07-24;R$9.01;R$0.26;R$4.63;R$7.20;R$3.76;R$7.31
2014-07-25;R$8.93;R$0.26;R$4.67;R$7.27;R$3.77;R$7.31
2014-07-28;R$8.84;R$0.26;R$4.63;R$7.14;R$3.79;R$6.93
2014-07-29;R$8.88;R$0.26;R$4.48;R$6.96;R$3.72;R$6.84
2014-07-30;R$8.83;R$0.25;R$4.39;R$7.04;R$3.72;R$6.84
2014-07-31;R$8.76;R$0.26;R$4.32;R$6.77;R$3.67;R$6.84
2014-08-01;R$8.86;R$0.26;R$4.33;R$6.74;R$3.64;R$6.84
2014-08-04;R$8.99;R$0.26;R$4.38;R$6.93;R$3.66;R$6.84
2014-08-05;R$8.89;R$0.26;R$4.51;R$6.99;R$3.72;R$6.84
2014-08-06;R$8.89;R$0.25;R$4.39;R$7.20;R$3.69;R$6.84
2014-08-07;R$8.80;R$0.25;R$4.39;R$7.14;R$3.65;R$6.83
2014-08-08;R$8.61;R$0.25;R$4.40;R$6.85;R$3.67;R$6.83
2014-08-11;R$8.85;R$0.26;R$4.53;R$7.14;R$3.67;R$6.83
2014-08-12;R$8.85;R$0.25;R$4.38;R$6.97;R$3.87;R$6.83
2014-08-13;R$8.77;R$0.25;R$4.42;R$6.63;R$3.99;R$6.83
2014-08-14;R$9.03;R$0.26;R$4.33;R$6.60;R$4.04;R$6.93
2014-08-15;R$9.15;R$0.26;R$4.64;R$7.11;R$4.14;R$6.93
2014-08-18;R$9.22;R$0.26;R$4.72;R$7.23;R$4.12;R$6.93
2014-08-19;R$9.49;R$0.26;R$4.79;R$7.41;R$4.19;R$6.93
2014-08-20;R$9.55;R$0.26;R$4.86;R$7.57;R$4.21;R$6.93
2014-08-21;R$9.67;R$0.25;R$4.83;R$7.55;R$4.25;R$6.47
2014-08-22;R$9.52;R$0.25;R$4.86;R$7.42;R$4.20;R$6.47
2014-08-25;R$9.79;R$0.26;R$4.95;R$7.81;R$4.16;R$6.47
2014-08-26;R$9.84;R$0.26;R$5.12;R$7.74;R$4.17;R$7.22
2014-08-27;R$10.11;R$0.26;R$5.30;R$8.10;R$4.17;R$7.22
2014-08-28;R$10.13;R$0.26;R$5.34;R$8.10;R$4.18;R$7.22
2014-08-29;R$10.42;R$0.26;R$5.41;R$8.28;R$4.20;R$7.22
2014-09-01;R$10.31;R$0.26;R$5.53;R$8.45;R$4.32;R$7.22
2014-09-02;R$10.53;R$0.26;R$5.62;R$8.71;R$4.37;R$7.22
2014-09-03;R$10.55;R$0.26;R$5.53;R$8.49;R$4.43;R$7.22
2014-09-04;R$10.18;R$0.26;R$5.56;R$8.08;R$4.39;R$7.78
2014-09-05;R$10.36;R$0.26;R$5.55;R$8.09;R$4.47;R$7.78
2014-09-08;R$10.07;R$0.25;R$5.20;R$7.69;R$4.36;R$7.78
2014-09-09;R$9.94;R$0.24;R$5.20;R$7.62;R$4.26;R$7.78
2014-09-10;R$9.69;R$0.24;R$4.98;R$7.43;R$4.40;R$7.78
2014-09-11;R$9.64;R$0.24;R$5.17;R$7.52;R$4.48;R$7.78
2014-09-12;R$9.37;R$0.24;R$5.04;R$7.14;R$4.49;R$7.78
2014-09-15;R$9.69;R$0.24;R$5.19;R$7.30;R$4.55;R$7.78
2014-09-16;R$9.94;R$0.25;R$5.10;R$7.64;R$4.57;R$7.78
2014-09-17;R$9.99;R$0.25;R$5.10;R$7.84;R$4.51;R$7.78
2014-09-18;R$9.85;R$0.25;R$4.96;R$7.55;R$4.57;R$7.78
2014-09-19;R$9.63;R$0.25;R$4.94;R$7.41;R$4.50;R$7.78
2014-09-22;R$9.55;R$0.24;R$4.85;R$7.30;R$4.46;R$7.78
2014-09-23;R$9.47;R$0.24;R$4.79;R$7.14;R$4.42;R$8.18
2014-09-24;R$9.54;R$0.24;R$4.71;R$7.17;R$4.55;R$7.70
2014-09-25;R$9.31;R$0.23;R$4.67;R$7.03;R$4.59;R$7.70
2014-09-26;R$9.73;R$0.23;R$4.90;R$7.42;R$4.63;R$6.74
2014-09-29;R$9.04;R$0.21;R$4.62;R$6.60;R$4.62;R$6.74
2014-09-30;R$8.83;R$0.22;R$4.87;R$6.41;R$4.59;R$6.74
2014-10-01;R$8.50;R$0.22;R$4.66;R$6.06;R$4.43;R$6.74
2014-10-02;R$8.77;R$0.23;R$4.66;R$6.13;R$4.45;R$6.74
2014-10-03;R$8.96;R$0.23;R$4.84;R$6.51;R$4.61;R$6.74
2014-10-06;R$9.63;R$0.24;R$5.05;R$7.23;R$4.68;R$6.74
2014-10-07;R$9.57;R$0.24;R$5.11;R$7.52;R$4.63;R$6.74
2014-10-08;R$9.49;R$0.24;R$5.09;R$7.39;R$4.65;R$6.74
2014-10-09;R$9.67;R$0.25;R$5.07;R$7.52;R$4.60;R$6.74
2014-10-10;R$9.19;R$0.23;R$4.83;R$7.11;R$4.52;R$6.74
2014-10-13;R$9.93;R$0.23;R$5.04;R$7.85;R$4.66;R$6.74
2014-10-14;R$10.06;R$0.23;R$4.95;R$7.66;R$4.76;R$6.74
2014-10-15;R$9.51;R$0.24;R$4.82;R$7.14;R$4.71;R$6.74
2014-10-16;R$9.18;R$0.23;R$4.82;R$6.61;R$4.63;R$6.74
2014-10-17;R$9.53;R$0.23;R$4.80;R$6.77;R$4.76;R$6.74
