Date;MRVE3.SA;TRPL4.SA;PETR4.SA;VIIA3.SA;MGLU3.SA;BBDC4.SA
2012-07-16;R$6.42;R$0.27;R$5.44;R$6.38;R$6.92;R$4.25
2012-07-17;R$6.42;R$0.26;R$5.58;R$6.28;R$6.79;R$4.25
2012-07-18;R$6.53;R$0.26;R$5.70;R$6.31;R$6.63;R$4.25
2012-07-19;R$6.60;R$0.27;R$5.95;R$6.40;R$6.57;R$4.25
2012-07-20;R$6.57;R$0.27;R$5.57;R$6.26;R$6.76;R$4.25
2012-07-23;R$6.26;R$0.27;R$5.34;R$6.19;R$6.98;R$4.25
2012-07-24;R$6.32;R$0.26;R$5.35;R$6.13;R$6.97;R$4.25
2012-07-25;R$6.34;R$0.26;R$5.40;R$6.20;R$7.09;R$4.25
2012-07-26;R$6.39;R$0.27;R$5.61;R$6.28;R$7.07;R$4.25
2012-07-27;R$6.74;R$0.28;R$5.89;R$6.58;R$7.10;R$4.25
2012-07-30;R$6.82;R$0.28;R$6.23;R$6.63;R$7.15;R$4.25
2012-07-31;R$6.81;R$0.29;R$6.02;R$6.36;R$6.88;R$4.25
2012-08-01;R$6.84;R$0.30;R$5.79;R$6.47;R$6.73;R$4.25
2012-08-02;R$6.76;R$0.29;R$5.45;R$6.39;R$6.70;R$4.25
2012-08-03;R$6.96;R$0.30;R$5.79;R$6.51;R$6.69;R$4.25
2012-08-06;R$7.11;R$0.31;R$5.96;R$6.50;R$6.57;R$4.25
2012-08-07;R$7.19;R$0.31;R$5.82;R$6.61;R$6.56;R$4.25
2012-08-08;R$7.28;R$0.31;R$6.10;R$6.91;R$6.75;R$4.25
2012-08-09;R$7.24;R$0.30;R$6.05;R$6.85;R$6.75;R$4.44
2012-08-10;R$7.24;R$0.30;R$6.05;R$6.85;R$6.71;R$4.51
2012-08-13;R$7.36;R$0.30;R$6.08;R$6.86;R$6.70;R$4.51
2012-08-14;R$7.32;R$0.31;R$6.10;R$6.80;R$6.59;R$4.51
2012-08-15;R$7.39;R$0.31;R$6.10;R$6.87;R$6.63;R$4.51
2012-08-16;R$7.42;R$0.31;R$6.44;R$7.00;R$6.78;R$4.51
2012-08-17;R$7.49;R$0.31;R$6.49;R$7.03;R$6.90;R$4.51
2012-08-20;R$7.47;R$0.31;R$6.42;R$7.03;R$6.92;R$4.23
2012-08-21;R$7.45;R$0.31;R$6.17;R$6.93;R$6.88;R$4.51
2012-08-22;R$7.46;R$0.30;R$6.18;R$7.01;R$6.82;R$4.51
2012-08-23;R$7.36;R$0.30;R$6.15;R$6.92;R$6.80;R$4.51
2012-08-24;R$7.34;R$0.31;R$6.15;R$6.93;R$6.81;R$4.51
2012-08-27;R$7.29;R$0.33;R$6.26;R$6.97;R$6.84;R$4.51
2012-08-28;R$7.36;R$0.33;R$6.25;R$6.99;R$6.79;R$4.51
2012-08-29;R$7.25;R$0.31;R$6.26;R$6.92;R$6.45;R$4.51
2012-08-30;R$7.26;R$0.31;R$6.29;R$6.86;R$5.98;R$4.51
2012-08-31;R$7.08;R$0.32;R$6.28;R$6.77;R$5.40;R$4.51
2012-09-03;R$7.24;R$0.32;R$6.31;R$6.73;R$5.35;R$4.16
2012-09-04;R$7.16;R$0.32;R$6.16;R$6.67;R$5.35;R$4.16
2012-09-05;R$7.18;R$0.33;R$5.99;R$6.72;R$5.39;R$4.16
2012-09-06;R$7.25;R$0.35;R$6.31;R$6.85;R$5.31;R$4.19
2012-09-10;R$7.26;R$0.35;R$6.14;R$6.93;R$5.09;R$4.19
2012-09-11;R$7.30;R$0.36;R$6.02;R$7.08;R$4.82;R$4.21
2012-09-12;R$7.41;R$0.36;R$6.15;R$7.17;R$3.62;R$4.23
2012-09-13;R$7.60;R$0.37;R$6.49;R$7.47;R$3.72;R$4.23
2012-09-14;R$7.70;R$0.36;R$6.43;R$7.60;R$3.84;R$4.21
2012-09-17;R$7.73;R$0.37;R$6.23;R$7.59;R$4.15;R$4.21
2012-09-18;R$7.64;R$0.36;R$6.20;R$7.57;R$4.17;R$4.21
2012-09-19;R$7.63;R$0.36;R$6.35;R$7.40;R$4.06;R$4.21
2012-09-20;R$7.62;R$0.37;R$6.40;R$7.51;R$4.05;R$4.21
2012-09-21;R$7.67;R$0.37;R$6.37;R$7.41;R$4.33;R$4.21
2012-09-24;R$7.63;R$0.37;R$6.48;R$7.49;R$4.43;R$4.21
2012-09-25;R$7.11;R$0.37;R$6.80;R$7.40;R$4.34;R$4.21
2012-09-26;R$7.06;R$0.36;R$6.64;R$7.43;R$4.32;R$4.21
2012-09-27;R$7.15;R$0.35;R$6.69;R$7.41;R$4.37;R$4.21
2012-09-28;R$7.02;R$0.35;R$6.55;R$7.30;R$4.50;R$4.21
2012-10-01;R$7.14;R$0.34;R$6.67;R$7.34;R$4.39;R$4.21
2012-10-02;R$7.16;R$0.34;R$6.66;R$7.41;R$4.32;R$4.21
2012-10-03;R$6.98;R$0.33;R$6.65;R$7.29;R$4.20;R$4.21
2012-10-04;R$7.01;R$0.35;R$6.61;R$7.31;R$4.05;R$4.21
2012-10-05;R$6.98;R$0.36;R$6.80;R$7.26;R$3.98;R$4.21
2012-10-08;R$6.95;R$0.35;R$6.68;R$7.30;R$3.89;R$4.21
2012-10-09;R$6.74;R$0.35;R$6.54;R$7.25;R$4.03;R$4.21
2012-10-10;R$6.69;R$0.37;R$6.67;R$7.22;R$3.96;R$4.21
2012-10-11;R$6.81;R$0.36;R$6.68;R$7.34;R$3.91;R$4.21
2012-10-15;R$6.81;R$0.37;R$6.76;R$7.44;R$3.74;R$3.97
2012-10-16;R$6.92;R$0.36;R$6.72;R$7.44;R$3.77;R$3.97
2012-10-17;R$6.95;R$0.36;R$6.82;R$7.39;R$3.76;R$3.97
2012-10-18;R$7.00;R$0.35;R$6.58;R$7.34;R$3.70;R$3.97
2012-10-19;R$6.98;R$0.34;R$6.52;R$7.26;R$3.73;R$3.97
2012-10-22;R$6.89;R$0.35;R$6.35;R$7.26;R$3.70;R$3.98
2012-10-23;R$6.78;R$0.34;R$6.12;R$7.07;R$3.52;R$3.98
2012-10-24;R$6.83;R$0.34;R$6.02;R$7.03;R$3.52;R$3.98
2012-10-25;R$7.00;R$0.33;R$5.95;R$7.10;R$3.59;R$3.98
2012-10-26;R$6.88;R$0.32;R$5.67;R$7.26;R$3.68;R$3.98
2012-10-29;R$6.91;R$0.32;R$5.73;R$6.97;R$3.60;R$3.97
2012-10-30;R$6.96;R$0.32;R$5.70;R$7.02;R$3.72;R$3.97
2012-10-31;R$6.90;R$0.32;R$5.56;R$6.79;R$3.89;R$3.97
2012-11-01;R$7.15;R$0.32;R$5.72;R$6.80;R$3.94;R$3.97
2012-11-05;R$7.15;R$0.33;R$5.75;R$6.93;R$3.77;R$3.97
2012-11-06;R$7.25;R$0.33;R$5.93;R$7.07;R$3.72;R$3.86
2012-11-07;R$7.08;R$0.32;R$5.94;R$6.91;R$3.75;R$3.86
2012-11-08;R$6.96;R$0.32;R$5.68;R$6.72;R$3.73;R$3.86
2012-11-09;R$6.95;R$0.32;R$5.75;R$6.78;R$3.75;R$3.86
2012-11-12;R$6.90;R$0.31;R$5.58;R$6.67;R$3.55;R$3.86
2012-11-13;R$7.05;R$0.30;R$5.88;R$6.68;R$3.90;R$3.86
2012-11-14;R$6.99;R$0.30;R$5.55;R$6.46;R$3.78;R$4.18
2012-11-16;R$7.07;R$0.30;R$5.29;R$6.21;R$3.77;R$4.18
2012-11-19;R$7.23;R$0.30;R$5.63;R$6.24;R$3.81;R$4.18
2012-11-21;R$7.38;R$0.30;R$5.56;R$6.07;R$3.55;R$4.18
2012-11-22;R$7.46;R$0.29;R$5.72;R$6.08;R$3.62;R$4.18
2012-11-23;R$7.54;R$0.30;R$5.92;R$6.25;R$3.62;R$4.18
2012-11-26;R$7.47;R$0.31;R$5.76;R$6.14;R$3.48;R$4.18
2012-11-27;R$7.36;R$0.30;R$5.59;R$6.04;R$3.55;R$4.21
2012-11-28;R$7.31;R$0.30;R$5.63;R$6.08;R$3.54;R$4.21
2012-11-29;R$7.42;R$0.31;R$5.88;R$6.25;R$3.57;R$4.21
2012-11-30;R$7.66;R$0.32;R$6.10;R$6.09;R$3.73;R$4.21
2012-12-03;R$7.72;R$0.32;R$6.35;R$6.20;R$3.63;R$4.21
2012-12-04;R$7.62;R$0.32;R$6.29;R$6.14;R$3.82;R$4.21
2012-12-05;R$7.74;R$0.31;R$6.26;R$6.18;R$3.71;R$4.21
2012-12-06;R$7.58;R$0.31;R$6.42;R$6.10;R$3.76;R$4.21
2012-12-07;R$7.59;R$0.32;R$6.55;R$6.22;R$3.80;R$4.21
2012-12-10;R$7.69;R$0.32;R$6.57;R$6.38;R$3.75;R$4.21
2012-12-11;R$7.73;R$0.32;R$6.34;R$6.52;R$3.72;R$4.21
2012-12-12;R$7.74;R$0.32;R$6.18;R$6.48;R$3.69;R$4.21
2012-12-13;R$7.80;R$0.32;R$6.13;R$6.38;R$3.57;R$4.21
2012-12-14;R$7.76;R$0.34;R$6.15;R$6.59;R$3.58;R$4.21
2012-12-17;R$7.76;R$0.34;R$6.21;R$6.50;R$3.59;R$4.21
2012-12-18;R$7.77;R$0.34;R$6.31;R$6.58;R$3.59;R$4.21
2012-12-19;R$7.96;R$0.34;R$6.33;R$6.83;R$3.58;R$4.21
2012-12-20;R$7.88;R$0.35;R$6.42;R$6.87;R$3.60;R$4.21
2012-12-21;R$7.85;R$0.34;R$6.37;R$6.75;R$3.70;R$4.21
2012-12-26;R$7.81;R$0.35;R$6.43;R$6.54;R$3.76;R$4.21
2012-12-27;R$7.67;R$0.34;R$6.34;R$6.33;R$3.81;R$4.21
2012-12-28;R$7.71;R$0.34;R$6.47;R$6.37;R$3.94;R$4.21
2013-01-02;R$7.89;R$0.36;R$6.29;R$6.42;R$4.00;R$4.21
2013-01-03;R$8.37;R$0.38;R$6.40;R$6.66;R$4.03;R$4.21
2013-01-04;R$8.22;R$0.37;R$6.27;R$6.67;R$4.23;R$4.21
2013-01-07;R$8.18;R$0.37;R$6.16;R$6.55;R$4.21;R$4.21
2013-01-08;R$8.21;R$0.36;R$6.02;R$6.36;R$4.02;R$4.21
2013-01-09;R$8.32;R$0.36;R$6.10;R$6.42;R$4.06;R$4.21
2013-01-10;R$8.21;R$0.36;R$6.15;R$6.47;R$4.00;R$4.21
2013-01-11;R$8.18;R$0.36;R$6.02;R$6.49;R$4.10;R$4.21
2013-01-14;R$8.32;R$0.37;R$6.11;R$6.43;R$4.14;R$4.21
2013-01-15;R$8.19;R$0.37;R$6.06;R$6.47;R$4.12;R$4.21
2013-01-16;R$8.23;R$0.36;R$6.17;R$6.47;R$4.14;R$4.21
2013-01-17;R$8.36;R$0.35;R$6.21;R$6.43;R$4.02;R$4.21
2013-01-18;R$8.39;R$0.34;R$6.00;R$6.39;R$4.03;R$4.21
2013-01-21;R$8.36;R$0.34;R$6.05;R$6.33;R$4.05;R$4.21
2013-01-22;R$8.36;R$0.33;R$6.02;R$6.39;R$4.04;R$4.21
2013-01-23;R$8.30;R$0.33;R$6.10;R$6.38;R$4.08;R$4.21
2013-01-24;R$8.28;R$0.32;R$5.88;R$6.40;R$4.06;R$4.21
2013-01-28;R$8.03;R$0.33;R$5.87;R$6.32;R$4.00;R$4.21
2013-01-29;R$7.94;R$0.34;R$6.00;R$6.23;R$4.06;R$4.21
2013-01-30;R$7.86;R$0.33;R$6.07;R$5.94;R$4.23;R$4.21
2013-01-31;R$8.03;R$0.34;R$6.15;R$5.90;R$4.18;R$4.21
2013-02-01;R$7.99;R$0.35;R$6.19;R$6.02;R$4.30;R$4.21
2013-02-04;R$7.88;R$0.35;R$6.28;R$5.87;R$4.30;R$4.21
2013-02-05;R$7.86;R$0.33;R$6.29;R$5.90;R$4.34;R$4.21
2013-02-06;R$7.74;R$0.32;R$6.22;R$5.74;R$4.33;R$4.21
2013-02-07;R$7.68;R$0.32;R$6.15;R$5.71;R$4.34;R$4.21
2013-02-08;R$7.83;R$0.32;R$6.15;R$5.79;R$4.28;R$4.21
2013-02-13;R$7.76;R$0.31;R$6.13;R$5.81;R$4.35;R$4.21
2013-02-14;R$7.66;R$0.32;R$6.25;R$5.76;R$4.35;R$4.21
2013-02-15;R$8.00;R$0.31;R$6.28;R$5.75;R$4.35;R$4.21
2013-02-18;R$8.13;R$0.30;R$6.18;R$5.84;R$4.35;R$4.21
2013-02-19;R$7.96;R$0.31;R$6.29;R$5.91;R$4.30;R$4.21
2013-02-20;R$7.78;R$0.30;R$6.40;R$5.75;R$4.27;R$4.21
2013-02-21;R$7.69;R$0.30;R$6.33;R$5.65;R$4.27;R$4.21
2013-02-22;R$7.85;R$0.30;R$6.44;R$5.60;R$4.32;R$4.21
2013-02-25;R$7.83;R$0.30;R$6.38;R$5.53;R$4.38;R$4.21
2013-02-26;R$7.66;R$0.30;R$6.42;R$5.46;R$4.31;R$5.25
2013-02-27;R$7.70;R$0.29;R$6.85;R$5.48;R$4.33;R$5.26
2013-02-28;R$7.77;R$0.29;R$6.85;R$5.42;R$4.27;R$5.26
2013-03-01;R$7.86;R$0.28;R$6.71;R$5.51;R$4.13;R$5.26
2013-03-04;R$7.95;R$0.27;R$6.63;R$5.38;R$4.13;R$5.26
2013-03-05;R$7.97;R$0.27;R$6.21;R$5.40;R$4.12;R$5.26
2013-03-06;R$7.96;R$0.27;R$6.35;R$5.89;R$4.24;R$5.26
2013-03-07;R$8.04;R$0.27;R$6.17;R$6.18;R$4.20;R$5.26
2013-03-08;R$8.16;R$0.27;R$5.93;R$5.99;R$4.19;R$5.26
2013-03-11;R$8.16;R$0.27;R$6.10;R$6.18;R$4.15;R$5.26
2013-03-12;R$8.10;R$0.28;R$6.37;R$6.11;R$4.06;R$5.37
2013-03-13;R$8.13;R$0.27;R$6.10;R$6.12;R$4.04;R$5.37
2013-03-14;R$8.10;R$0.27;R$5.73;R$6.29;R$3.94;R$5.37
2013-03-15;R$8.15;R$0.26;R$5.29;R$6.23;R$4.02;R$5.37
2013-03-18;R$8.00;R$0.26;R$5.48;R$6.26;R$3.96;R$5.37
2013-03-19;R$7.90;R$0.26;R$5.17;R$6.23;R$3.98;R$5.37
2013-03-20;R$7.97;R$0.26;R$4.90;R$6.15;R$3.94;R$5.37
2013-03-21;R$7.90;R$0.26;R$4.79;R$6.05;R$3.88;R$5.37
2013-03-22;R$7.89;R$0.26;R$4.70;R$6.08;R$3.86;R$5.37
2013-03-25;R$7.78;R$0.26;R$4.64;R$6.06;R$3.83;R$5.37
2013-03-26;R$7.90;R$0.25;R$4.70;R$6.06;R$3.90;R$5.37
2013-03-27;R$8.07;R$0.25;R$4.58;R$6.01;R$3.93;R$5.37
2013-03-28;R$8.07;R$0.26;R$4.53;R$6.01;R$4.00;R$5.37
2013-04-01;R$8.18;R$0.26;R$4.51;R$5.88;R$3.98;R$5.37
2013-04-02;R$8.09;R$0.26;R$4.58;R$5.77;R$3.88;R$5.61
2013-04-03;R$8.19;R$0.26;R$4.69;R$5.87;R$3.91;R$5.49
2013-04-04;R$8.03;R$0.26;R$4.85;R$5.78;R$3.87;R$5.49
2013-04-05;R$8.07;R$0.26;R$5.03;R$5.81;R$3.94;R$5.49
2013-04-08;R$7.91;R$0.26;R$5.04;R$5.67;R$4.06;R$5.49
2013-04-09;R$8.17;R$0.26;R$4.91;R$5.92;R$4.18;R$5.49
2013-04-10;R$8.36;R$0.25;R$5.28;R$6.01;R$4.26;R$5.49
2013-04-11;R$8.35;R$0.24;R$5.11;R$5.87;R$4.27;R$5.49
2013-04-12;R$8.29;R$0.25;R$4.99;R$5.86;R$4.23;R$5.49
2013-04-15;R$8.04;R$0.24;R$4.74;R$5.62;R$4.11;R$5.50
2013-04-16;R$8.19;R$0.24;R$4.79;R$5.77;R$4.24;R$5.50
2013-04-17;R$7.89;R$0.23;R$4.70;R$5.60;R$4.17;R$5.50
2013-04-18;R$7.74;R$0.23;R$4.61;R$5.81;R$4.19;R$5.50
2013-04-19;R$7.83;R$0.23;R$4.86;R$6.00;R$4.18;R$5.50
2013-04-22;R$7.80;R$0.22;R$4.76;R$6.13;R$4.17;R$5.50
2013-04-23;R$7.89;R$0.22;R$4.74;R$6.24;R$4.18;R$5.50
2013-04-24;R$7.87;R$0.22;R$4.72;R$6.34;R$4.22;R$5.52
2013-04-25;R$7.81;R$0.23;R$4.59;R$6.25;R$4.11;R$5.52
2013-04-26;R$7.81;R$0.23;R$4.59;R$6.25;R$4.06;R$5.52
2013-04-29;R$7.73;R$0.20;R$4.57;R$6.66;R$4.08;R$5.52
2013-04-30;R$7.98;R$0.20;R$4.66;R$6.68;R$4.17;R$5.52
2013-05-02;R$7.97;R$0.21;R$4.53;R$6.73;R$4.15;R$5.52
2013-05-03;R$7.95;R$0.22;R$4.51;R$6.64;R$4.16;R$5.52
2013-05-06;R$7.88;R$0.22;R$4.43;R$6.76;R$4.07;R$5.52
2013-05-07;R$8.10;R$0.23;R$4.57;R$6.86;R$4.11;R$5.38
